Unnamed: 0,Place Name,Place ID,Latitude,Longitude,Rating,Rate_amount,Types,Address
151,cama café 台北奇岩店,ChIJ_w9DafiuQjQR-XxBJkpUSyc,25.1259066,121.50068279999999,4,175,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",北投區北投路一段59號
152,Dante coffee丹堤咖啡,ChIJNXZlAlSuQjQRR2VnVPuQQnY,25.1319444,121.49694440000002,3.9,418,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",北投區大業路462-8號
154,Louisa Coffee 路易．莎咖啡(北投社3rd直營門市),ChIJpdLA31CuQjQR6ZAVzzHBgcc,25.1329544,121.49999629999999,4.2,599,"['cafe', 'food', 'point_of_interest', 'establishment']","1f, No. 65號, 光明路, 北投區"
155,STARBUCKS 星巴克 (光明門市),ChIJAzJPNEWuQjQR3Hj2LhL9eLk,25.136201,121.504383,4,483,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",北投區光明路218-4號
157,Louisa Coffee 路易．莎咖啡(新北投直營門市),ChIJDXnPZkWuQjQRwLgmWc4pV2g,25.137891699999997,121.5030594,3.9,366,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",北投區中和街22號
158,STARBUCKS 星巴克 (關渡門市),ChIJ4W2klXKvQjQROVWqIYuP950,25.1244996,121.46684909999999,4.2,711,"['cafe', 'food', 'point_of_interest', 'establishment']",北投區大度路三段296巷45號1樓
160,STARBUCKS 星巴克 (竹圍門市),ChIJ7QNgdZ2vQjQRfZq_yj2FVNA,25.1370833,121.45972309999999,4.1,370,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",淡水區民權路42號
162,Louisa Coffee 路易．莎咖啡,ChIJF8SYCp2vQjQRaZcpCGRUVws,25.137255,121.459854,3.9,353,"['cafe', 'food', 'point_of_interest', 'establishment']",淡水區民權路38號
163,星巴克紅樹林門市,ChIJ4aYLdKOrQjQRZBh6mkEMrSI,25.1547244,121.45891929999999,4.4,165,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",淡水區中正東路二段68號
164,STARBUCKS 星巴克 (淡水門市),ChIJuzt381ilQjQRNcEHpBHJGck,25.168319399999998,121.44414599999999,3.9,836,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",淡水區公明街73巷89號1樓
166,STARBUCKS 星巴克 (新店總站門市),ChIJU9YTA4cBaDQRnf-SPBgMNAU,24.957850600000004,121.53759939999999,4.1,399,"['cafe', 'food', 'point_of_interest', 'establishment']",新店區北宜路一段2號
168,Louisa Coffee 路易．莎咖啡(新店捷運店),ChIJezF-7IcBaDQRdS5NIBo49Zo,24.9572473,121.53797759999999,3.7,287,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",新店區北宜路一段26號
169,85度C咖啡蛋糕飲料(新店碧潭店),ChIJq_VUA4cBaDQRZN5pvdG8UH8,24.9581367,121.5382035,3.4,90,"['cafe', 'food', 'point_of_interest', 'establishment']",新店區北宜路一段9號
171,STARBUCKS 星巴克 (新店門市),ChIJuTkBNosBaDQRwCUEFHk7cdk,24.967797,121.54126299999999,4,424,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",新店區北新路一段305號
173,路易莎咖啡新店北新店,ChIJrT7iqIsBaDQRQCK2r9VtxlE,24.9683236,121.54153500000001,3.5,368,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",新店區北新路一段321號
175,cama café 新店七張店,ChIJf7LktfABaDQRWVrvyv1ublI,24.977052,121.54304099999999,4,169,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",新店區北新路二段218號
176,Louisa Coffee 路易．莎咖啡(七張店),ChIJC3PV6vABaDQRjezV_3FD0f0,24.9766908,121.54431799999999,4.2,107,"['cafe', 'food', 'point_of_interest', 'establishment']",新店區永華街33巷28號
177,Louisa Coffee 路易．莎咖啡(小碧潭),ChIJyT4wLxkCaDQRkV71ccwRZ10,24.9736113,121.53068259999999,4,139,"['cafe', 'food', 'point_of_interest', 'establishment']",新店區中央路133巷8號
178,STARBUCKS 星巴克 (北新門市),ChIJaRwSFvkBaDQR3q2_d2n8blU,24.9827098,121.5409172,4,668,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",新店區民權路27號
180,85度C 咖啡蛋糕麵包店-台北景美店,ChIJmYKV4ACqQjQRNA-XVdeU5dE,24.9917842,121.54120420000001,3.5,545,"['bakery', 'cafe', 'food', 'point_of_interest', 'store', 'establishment']",文山區景文街42號
182,Louisa Coffee 路易莎咖啡 景美店-捷運2號出口,ChIJpwdKOAGqQjQRj229OTkpzSg,24.993075,121.54191999999999,3.9,78,"['cafe', 'food', 'point_of_interest', 'establishment']","1, No. 13號, 景中街, 文山區"
184,STARBUCKS 星巴克 (公館門市),ChIJCwXFpYupQjQRCE98rG9CwzU,25.015469699999997,121.53330940000001,4,1260,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",大安區羅斯福路四段26號1樓
186,Starbucks,ChIJY1uqz8irQjQRnetWuLM8xzQ,25.0268191,121.52292390000001,3.9,793,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",大安區和平東路一段2號
187,Louisa Coffee 路易．莎咖啡(古亭店),ChIJDRkgbpqpQjQRZMmMsZB-guE,25.0264484,121.52174720000001,3.8,159,"['cafe', 'food', 'point_of_interest', 'establishment']",中正區南昌路二段115號
194,CAFE185 by Vivia,ChIJQSaPc6GpQjQRA5ABG4ky--o,25.034807999999998,121.51089340000001,3.9,16,"['cafe', 'food', 'point_of_interest', 'establishment']",中正區博愛路185號
195,85度c咖啡蛋糕台北西門店,ChIJ56dQHrupQjQR7Zt0IsvtKwI,25.041679100000003,121.5072605,3.9,776,"['cafe', 'food', 'point_of_interest', 'establishment']",萬華區漢中街151號
196,星巴克,ChIJrWPskAepQjQR_7VXOp2F4mU,25.0440982,121.507461,4.1,1745,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",萬華區漢中街51號
197,怡客咖啡 衡陽店,ChIJ-yoJygupQjQRf1r2Z_CeEHs,25.042122,121.50985700000001,3.6,551,"['cafe', 'food', 'point_of_interest', 'establishment']",中正區衡陽路116號
198,STARBUCKS 星巴克 (寶平門市),ChIJrRnsfXypQjQR35UoPpu87Ms,25.0416431,121.50911709999998,3.9,304,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",中正區寶慶路32號
200,Dante Coffee 寶慶店,ChIJLSHRHNupQjQRAvgCRC5oM9M,25.0419756,121.5096338,3.6,302,"['cafe', 'food', 'point_of_interest', 'establishment']","No. 107號, Yanping South Road, Zhongzheng District"
201,Ikari Coffee,ChIJd_z7tQupQjQRqBn3ajxMD8Y,25.0421412,121.5099024,3.7,12,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']","No. 114, Hengyang Road, Zhongzheng District"
205,怡客咖啡 松江南京店,ChIJWfYL72CpQjQRZERpZOKIgzE,25.0531009,121.53330509999999,3.7,634,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",中山區松江路125號
206,歐克佬咖啡農場,ChIJQ40I22CpQjQRNATiJicZbOI,25.0530309,121.5321993,4.3,176,"['cafe', 'food', 'point_of_interest', 'establishment']",中山區松江路132巷5-2號
