,Place Name,Place ID,Latitude,Longitude,Rating,Rate_amount,Types,Address
175,屈臣氏Watsons (來店取貨),ChIJFVsxDNOrQjQR3b7XGg8idF8,25.0329491,121.5544858,3.2,5,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']","信義路四段22號1-2F, Da’an District"
204,屈臣氏Watsons (來店取貨),ChIJ0w3haoKpQjQRlTWE2baJ1IA,25.0333863,121.529818,3.3,103,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']",大安區永康街2號
206,屈臣氏新生門市,ChIJAfmAF3ypQjQRs3gusC8KuqI,25.0398294,121.5325519,2.6,40,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']",中正區新生南路一段104號
208,康是美(永康門市),ChIJhb7yP4KpQjQR2lJ_clFrb3c,25.0330242,121.5299202,4.1,34,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']",大安區永康街7之2號
209,康是美(東門門市),ChIJG-TOaIKpQjQRpjaSApKbe0E,25.0336009,121.5292686,-,-,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']",大安區信義路二段166號b1
213,康是美 台北橋門市,ChIJEw0G4nepQjQRraw3w1SkxzE,25.0357535,121.5245504,5,1,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']",中正區杭州南路一段153-5號
215,康是美 (新中正門市),ChIJ5aXDWJ2pQjQRJogDrVZvKg4,25.0356014,121.5246235,4.1,15,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']",中正區信義路二段1號1樓
218,屈臣氏Watsons,ChIJ92lT8JqpQjQRjMBFFzp761Q,25.0272529,121.5232885,3.4,17,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']",大安區和平東路一段29號
220,康是美(寧波門市),ChIJbd6XSZmpQjQRb6zxOQIaJko,25.0314235,121.5185738,4.2,12,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']",中正區寧波西街11號
221,屈臣氏 寧波,ChIJd81UPJmpQjQRjcS2nTFLvhs,25.030828,121.517923,3.5,33,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']",中正區寧波西街46號
223,屈臣氏Watsons (來店取貨),ChIJVeP1EpqpQjQRyONtu688oD4,25.0266591,121.5211175,2.2,34,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']",中正區南昌路二段70號
228,康是美 同安門市,ChIJza8fiZCpQjQRWMrQJfEzyn8,25.0247832,121.5224557,3.8,14,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']",中正區同安街41之1號
229,康是美 (新通運門市),ChIJoxLmV3KpQjQRmin590K-Tvs,25.0464951,121.515575,3.1,22,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']",中正區忠孝西路一段50-1號B1 地下街13區
230,屈臣氏南陽店,ChIJtQUFbXOpQjQRQsga9oXN8TI,25.0445985,121.5161708,3.8,81,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']",中正區南陽街15號
231,屈臣氏Watsons,ChIJOQyAowypQjQRrA_dlVMQXKk,25.0442289,121.513089,3.6,59,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']",中正區重慶南路一段56號
233,康是美 漢寧門市,ChIJ7cCRkgypQjQRZ-t7oJcqnvE,25.0452606,121.5146759,4.3,13,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']","漢口街一段3號、5號、9號、11號 1樓右邊部分, 中正區"
234,屈臣氏 館前,ChIJNVP2L3OpQjQRHlB6FvXFUkg,25.0454396,121.5148779,2.9,52,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']",中正區館前路18號
235,康是美(風采門市),ChIJ38mvywupQjQRQ4REAdswlss,25.04209,121.509665,4.2,26,"['drugstore', 'health', 'point_of_interest', 'store', 'establishment']",中正區延平南路103號1樓
